2293	Hugh L. Burleson
2294	Hercules Burnett
2295	James Anderson Burns
2296	James D. Burns
2297	George Washington Burr
2298	Isaac D. Burrell
2299	Arthur Burrows (English cricketer)
2300	Frank Burton (footballer, born 1865)
2301	Frederick Burton (cricketer, born 1865)
2302	William Merriam Burton
2303	William Bury (footballer)
2304	August Anheuser Busch Sr.
2305	Walter Carl Otto Busse
2306	Dorothy Bussy
2307	Charles C. Butler
2308	Archibald Butt
2309	Harry Butt
2310	Joseph L. Buttenwieser
2311	Hadji Butu
2312	Karim Bux
2313	Cyril Buxton
2314	Sir Thomas Buxton, 4th Baronet
2315	Travers Buxton
2316	Ulysses G. Buzzard
2317	Sadie Heath Cabaniss
2318	Montserrat Garriga Cabrero
2319	Vicente Cabeza de Vaca y Fernández de Córdoba, Marquis of Portago
2320	Charlie Cady
2321	John Cahill (baseball)
2322	Wilfred Cairns, 4th Earl Cairns
2323	William Frank Calderon
2324	William Leadbetter Calderwood
2325	Edward Nathan Calisch
2326	Alfred John Callaghan
2327	John Callahan (Wisconsin politician)
2328	Charles A. Callis
2329	James Nathan Calloway
2330	Johnson N. Camden Jr.
2331	David Young Cameron
2332	Duncan Cameron (Liberal MLA)
2333	Mary Cameron (painter)
2334	Clinton Campbell
2335	Evelyn Campbell (actress)
2336	Mrs Patrick Campbell
2337	Robert A. Campbell (mayor)
2338	William Campbell (footballer)
2339	Alexander Priestly Camphor
2340	Stephen D. Canady
2341	Oreste Candi
2342	James M. Canty
2343	Henri Capitant
2344	Arthur Capper
2345	Francisco Antonio Cano Cardona
2346	Roger Carey
2347	Wellington David Cargill
2348	Katharine Carl
2349	Albert N. Carlblom
2350	C. N. Carleson
2351	Patrick Carnegie Simpson
2352	John Hilliard Carnegie
2353	Maurus Carnot
2354	Maxwell Carpendale
2355	Edmund Nelson Carpenter
2356	George Herbert Carpenter
2357	Grant Carpenter
2358	Madeleine Carpentier
2359	Michel-Antoine Carré
2360	Charles Carroll (1865-1921)
2361	Henry George Carroll
2362	John Carroll (Australian bishop)
2363	William Leighton Carss
2364	Charles Carstairs
